IDRESEAU;LIBELLE;OBSTACLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
65893;de Chapelasse;;830000;1;395+995;e59133b0-6667-11e3-a7ff-01f464e0362d;843068.9804999977;6619848.020799998;4.871339665836296;46.663452915527;46.6634529155,4.87133966584;46.6634529155,4.87133966584;"{""type"": ""Point"", ""coordinates"": [4.871339665836297, 46.66345291551218]}"
114457;;A4bis;005000;1;116+029;e8e7adf4-6667-11e3-a7ff-01f464e0362d;774561.3579000011;6900961.664900001;4.023036843879253;49.204026278755975;49.2040262788,4.02303684388;49.2040262787,4.02303684388;"{""type"": ""Point"", ""coordinates"": [4.023036843879252, 49.20402627873564]}"
36888;;;530000;1;096+530;e95d145e-6667-11e3-a7ff-01f464e0362d;366799.7173999995;6610816.190000001;-1.348156381660044;46.514765994114406;46.5147659941,-1.34815638166;46.5147659941,-1.34815638166;"{""type"": ""Point"", ""coordinates"": [-1.348156381660047, 46.514765994099136]}"
60646;des Corbeaux;;195000;1;013+748;e6b026ba-6667-11e3-a7ff-01f464e0362d;913484.6686000004;6932206.110599998;5.943957668455655;49.45344862760837;49.4534486276,5.94395766846;49.4534486276,5.94395766846;"{""type"": ""Point"", ""coordinates"": [5.943957668455656, 49.45344862758925]}"
51718;de Hariauou;Chemin;655000;1;077+852;e6d10c22-6667-11e3-a7ff-01f464e0362d;385694.5178000033;6364453.428300001;-0.941677518696461;44.30848733777648;44.3084873378,-0.941677518696;44.3084873378,-0.941677518696;"{""type"": ""Point"", ""coordinates"": [-0.941677518696463, 44.30848733775502]}"
56691;Pont n°2 de la Breque;RN 15;341300;1;223+293;e6fe7b3a-6667-11e3-a7ff-01f464e0362d;496300.05089999735;6937165.8235;0.188422888175042;49.50119940631497;49.5011994063,0.188422888175;49.5011994063,0.188422888175;"{""type"": ""Point"", ""coordinates"": [0.188422888175039, 49.501199406296095]}"
58916;;CD 19;323000;1;202+078;e6b07126-6667-11e3-a7ff-01f464e0362d;593615.9346000031;6996312.1087;1.51583073465533;50.05620134158981;50.0562013416,1.51583073466;50.0562013416,1.51583073466;"{""type"": ""Point"", ""coordinates"": [1.515830734655328, 50.05620134157355]}"
59056;;Chemin d'exploitation;030000;1;054+216;e871f0b2-6667-11e3-a7ff-01f464e0362d;900625.2507999986;6806295.8341999985;5.707266357309393;48.326025173579076;48.3260251736,5.70726635731;48.3260251736,5.70726635731;"{""type"": ""Point"", ""coordinates"": [5.707266357309392, 48.32602517355426]}"
35877;;RN 771;470000;1;470+298;e73244c2-6667-11e3-a7ff-01f464e0362d;325811.9236000031;6707493.039999999;-1.960884086856778;47.361948585348195;47.3619485853,-1.96088408686;47.3619485853,-1.96088408686;"{""type"": ""Point"", ""coordinates"": [-1.960884086856782, 47.36194858531813]}"
157713;Viaduc de Millau;A 75;722000;1;543+550;dd5693cc-03e3-11e4-87ff-013c64e0362d;701816.1128000021;6331876.8407000005;3.022677221472521;44.08589217128808;44.0858921713,3.02267722147;44.0858921713,3.02267722147;"{""type"": ""Point"", ""coordinates"": [3.02267722147252, 44.085892171266046]}"
