IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
69695;Gare;915000;2;304+510;e88890b8-6667-11e3-a7ff-01f464e0362d;977546.7198000029;6391452.618999999;6.496311012230524;44.566842003859136;44.5668420039,6.49631101223;44.5668420038,6.49631101223;"{""type"": ""Point"", ""coordinates"": [6.496311012230524, 44.56684200383836]}"
51297;Passerelle piétons Gauja;640000;1;135+555;e7088c04-6667-11e3-a7ff-01f464e0362d;509981.84629999846;6348330.735300001;0.621833469157325;44.20823319271936;44.2082331927,0.621833469157;44.2082331927,0.621833469157;"{""type"": ""Point"", ""coordinates"": [0.621833469157324, 44.20823319269764]}"
43402;;800000;1;578+346;e5e847fe-6667-11e3-a7ff-01f464e0362d;841141.9759000018;6464092.6017;4.799717961472954;45.26170334696708;45.261703347,4.79971796147;45.2617033469,4.79971796147;"{""type"": ""Point"", ""coordinates"": [4.799717961472952, 45.261703346948195]}"
67256;;930000;1;191+148;e734d528-6667-11e3-a7ff-01f464e0362d;1022835.5782999992;6280423.973299999;6.995197784792638;43.549364899163145;43.5493648992,6.99519778479;43.5493648991,6.99519778479;"{""type"": ""Point"", ""coordinates"": [6.995197784792639, 43.549364899139746]}"
59446;Passerelle piétons;062000;1;048+447;e69eedda-6667-11e3-a7ff-01f464e0362d;993184.0750999972;6805135.1138;6.953726864144815;48.28047517001027;48.28047517,6.95372686414;48.28047517,6.95372686414;"{""type"": ""Point"", ""coordinates"": [6.953726864144815, 48.28047516998521]}"
67242;;905000;1;218+712;e8997bf0-6667-11e3-a7ff-01f464e0362d;914745.5428000018;6394583.7848000005;5.707253909228678;44.61721210841221;44.6172121084,5.70725390923;44.6172121084,5.70725390923;"{""type"": ""Point"", ""coordinates"": [5.707253909228677, 44.61721210839157]}"
128925;Passerelle piétons;202000;1;246+742;e99f4b16-6667-11e3-a7ff-01f464e0362d;901814.2905000001;6940944.521299999;5.787412287016813;49.53573876002762;49.53573876,5.78741228702;49.53573876,5.78741228702;"{""type"": ""Point"", ""coordinates"": [5.787412287016814, 49.5357387600089]}"
87565;Passerelle;790000;1;674+022;e87f99d0-6667-11e3-a7ff-01f464e0362d;786716.6598000005;6337159.405299999;4.083640558950298;44.128084351586494;44.1280843516,4.08364055895;44.1280843516,4.08364055895;"{""type"": ""Point"", ""coordinates"": [4.083640558950298, 44.12808435156456]}"
173428;PAS 2891 - Passerelle de St-Antoine;566000;1;289+076;1fe541e6-51eb-11e7-95ff-01a864e0362d;430759.8509000018;6441061.6000000015;-0.418844238114061;45.016324258558875;45.0163242586,-0.418844238114;45.0163242585,-0.418844238114;"{""type"": ""Point"", ""coordinates"": [-0.418844238114063, 45.016324258539335]}"
10050015;.;272000;1;009+827;5854d1ce-507e-11e9-80ff-01acb2273146;653894.8171000034;6873809.568;2.370351745497429;48.962583952873956;48.9625839529,2.3703517455;48.9625839529,2.3703517455;"{""type"": ""Point"", ""coordinates"": [2.370351745497428, 48.962583952852405]}"
47771;Passerelle piétons;884000;1;064+522;e90890f6-6667-11e3-a7ff-01f464e0362d;918120.9417999983;6560975.002799999;5.824781811531151;46.11345490883636;46.1134549088,5.82478181153;46.1134549088,5.82478181153;"{""type"": ""Point"", ""coordinates"": [5.824781811531151, 46.11345490881992]}"
37299;Passage voyageurs;570000;1;107+648;e6c5252e-6667-11e3-a7ff-01f464e0362d;616462.679399997;6770012.065900002;1.879320702502245;48.0251573604575;48.0251573605,1.8793207025;48.0251573604,1.8793207025;"{""type"": ""Point"", ""coordinates"": [1.879320702502243, 48.02515736043108]}"
54884;;272000;1;064+448;e920250e-6667-11e3-a7ff-01f464e0362d;658238.0095999986;6920508.9421;2.425019662063004;49.382719657358635;49.3827196574,2.42501966206;49.3827196573,2.42501966206;"{""type"": ""Point"", ""coordinates"": [2.425019662063003, 49.38271965733918]}"
32587;Passerelle technique;216000;1;009+530;e698eb80-6667-11e3-a7ff-01f464e0362d;706419.5891000032;7058431.6609000005;3.090564594618739;50.62285389590513;50.6228538959,3.09056459462;50.6228538959,3.09056459462;"{""type"": ""Point"", ""coordinates"": [3.090564594618738, 50.6228538958914]}"
64754;;146000;1;012+282;e678fcd2-6667-11e3-a7ff-01f464e0362d;1053724.5315999985;6859856.4003;7.813239399569157;48.74176838853144;48.7417683885,7.81323939957;48.7417683885,7.81323939957;"{""type"": ""Point"", ""coordinates"": [7.813239399569158, 48.74176838850878]}"
54574;;232000;1;064+040;e925e8fe-6667-11e3-a7ff-01f464e0362d;689337.2665999979;6908005.421300001;2.853512109074563;49.27160238618529;49.2716023862,2.85351210907;49.2716023862,2.85351210907;"{""type"": ""Point"", ""coordinates"": [2.853512109074563, 49.271602386165284]}"
57155;Passerelle publique piétons de Bernay;366000;1;157+157;e647f6e2-6667-11e3-a7ff-01f464e0362d;525926.6745999977;6890766.439300001;0.616400341393075;49.09308310041705;49.0930831004,0.616400341393;49.0930831004,0.616400341393;"{""type"": ""Point"", ""coordinates"": [0.616400341393073, 49.09308310039617]}"
